"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Multiview Landmark-Assisted UAV Swarm 6-DoF Pose Estimation Using Resonant Beam and VIO","S. Du; M. Xu; Y. Li; W. Fang; Q. Liu; P. Yi; Y. Hong","School of Computer Science and Technology, Tongji University, Shanghai, China; School of Computer Science and Technology, Tongji University, Shanghai, China; School of Computer Science and Technology, Tongji University, Shanghai, China; College of Electronic and Information Engineering, Tongji University, Shanghai, China; School of Computer Science and Technology, Tongji University, Shanghai, China; College of Electronic and Information Engineering, Tongji University, Shanghai, China; Key Laboratory of Systems and Control, Academy of Mathematics and Systems Science, Chinese Academy of Sciences, Beijing, China",IEEE Internet of Things Journal,"24 Jul 2025","2025","12","15","31511","31525","As an essential aerial platform in Internet of Things (IoT) applications, UAV swarms require high-precision attitude estimation in GPS-limited and dynamic environments, which supports higher-level IoT functions, such as smart logistics, disaster response, and environmental monitoring. However, most odometry-based pose estimation methods in dynamic scenarios without GPS encounter issues with cumulative errors over time. In this article, we propose a method to reduce these cumulative errors by constraining the absolute positioning of visual-inertial odometry (VIO) using relative poses obtained from multiview landmark and resonant-beam (RBeam) sensors between UAVs. For synchronous moments, we estimate the six Degree-of-Freedom (DoF) relative pose using the Angle of Arrival and Time of Flight data from the RBeam, combined with nonlinear optimization. For asynchronous moments, a two-stage visual estimation method is introduced, combining multicamera epipolar geometry for rotation recovery and depth reconstruction optimization for translation recovery, enabling the estimation of asynchronous relative poses (ARPs). Finally, we design a global objective function based on a sliding window and factor graph, integrating RBeam, multiview landmark, and VIO for absolute 6-DoF pose optimization of the UAV swarm. Simulation results demonstrate that optimizing with the addition of RBeam synchronous relative poses improves overall positioning accuracy by 32.94% compared to pure VIO. Incorporating both RBeam synchronous and visual ARPs further enhances overall positioning accuracy by 37.65%. Additionally, the UAV’s attitude benefits from the rotational constraints provided by the RBeam, achieving over 30% improvement in the pitch and yaw directions.","2327-4662","","10.1109/JIOT.2025.3573755","National Key Research and Development Program of China(grant numbers:2022YFA1004700); National Natural Science Foundation of China(grant numbers:62301308,62305019,62371342,62071334); Shanghai Municipal Science and Technology Major Project(grant numbers:2021SHZDZX0100); Shanghai Municipal Commission of Science and Technology Project(grant numbers:19511132101); Aeronautical Science Foundation of China(grant numbers:20230007038001); Fundamental Research Funds for the Central Universities(grant numbers:22120210543); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11015913","Deep reconstruction optimization;multicamera epipolar geometry;resonant beam positioning","Autonomous aerial vehicles;Location awareness;Accuracy;Optimization;Pose estimation;Visualization;Drones;Sensors;Internet of Things;6-DOF","","1","","38","IEEE","26 May 2025","1 Aug.1, 2025","","IEEE","IEEE Journals"
"A Robust UAV System for Operations in a Constrained Environment","M. Petrlík; T. Báča; D. Heřt; M. Vrba; T. Krajník; M. Saska","Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia; Faculty of Electrical Engineering, Czech Technical University in Prague, Prague 6, Czechia",IEEE Robotics and Automation Letters,"17 Feb 2020","2020","5","2","2169","2176","In this letter we present an autonomous system intended for aerial monitoring, inspection and assistance in Search and Rescue (SAR) operations within a constrained workspace. The proposed system is designed for deployment in demanding real-world environments with extremely narrow passages only slightly wider than the aerial platform, and with limited visibility due to the absence of illumination and the presence of dust. The focus is on precise localization in an unknown environment, high robustness, safety and fast deployment without any need to install an external infrastructure such as an external computer and localization system. These are the main requirements of the targeted SAR scenarios. The performance of the proposed system was successfully evaluated in the Tunnel Circuit of the DARPA Subterranean Challenge, where the UAV cooperated with ground robots to precisely localize artifacts in a coal mine tunnel system. The challenge was unique due to the intention of the organizers to emulate the unpredictable conditions of a real SAR operation, in which there is no prior knowledge of the obstacles that will be encountered.","2377-3766","","10.1109/LRA.2020.2970980","Research Center for Informatics(grant numbers:CZ.02.1.01/0.0/0.0/16 019/0000765); CTU(grant numbers:SGS17/187/OHK3/3T/13); CSF(grant numbers:17-27006Y); CSF(grant numbers:17-16900Y,17-16900Y); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8979150","Aerial systems: perception and autonomy;search and rescue robots;robotics in hazardous fields","Robots;Robustness;Inspection;Fuel processing industries;Buildings;Cameras;Three-dimensional displays","","131","","40","IEEE","3 Feb 2020","April 2020","","IEEE","IEEE Journals"
"Onboard real-time dense reconstruction of large-scale environments for UAV","A. S. Vempati; I. Gilitschenski; J. Nieto; P. Beardsley; R. Siegwart","Disney Research Zurich, Zurich, Switzerland; ETH Zurich, Autonomous Systems Lab, Zurich, Switzerland; ETH Zurich, Autonomous Systems Lab, Zurich, Switzerland; Disney Research Zurich, Zurich, Switzerland; ETH Zurich, Autonomous Systems Lab, Zurich, Switzerland",2017 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"14 Dec 2017","2017","","","3479","3486","In this paper, we propose a GPU parallelized SLAM system capable of using photometric and inertial data together with depth data from an active RGB-D sensor to build accurate dense 3D maps of indoor environments. We describe several extensions to existing dense SLAM techniques that allow us to operate in real-time onboard memory constrained robotic platforms. Our primary contribution is a memory management algorithm that scales to large scenes without being limited by GPU memory resources. Moreover, by integrating a visual-inertial odometry system, we robustly track the camera pose even on an agile platform such as a quadrotor UAV. Our robust camera tracking framework can deal with fast camera motions and varying environments by relying on depth, color and inertial motion cues. Global consistency is achieved via regular checking for loop closures in conjunction with a pose graph, as a basis for corrective deformation of the 3D map. Our efficient SLAM system is capable of producing highly dense meshes up to 5mm resolution at rates close to 60Hz fully onboard a UAV. Experimental validations both in simulation and on a real-world platform, show that our approach is fast, more robust and more memory efficient than state-of-the-art techniques, while obtaining better or comparable accuracy.","2153-0866","978-1-5386-2682-5","10.1109/IROS.2017.8206189","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8206189","","Cameras;Graphics processing units;Real-time systems;Simultaneous localization and mapping;Memory management;Robustness","","13","","22","IEEE","14 Dec 2017","24-28 Sept. 2017","24-28 Sept. 2017","IEEE","IEEE Conferences"
"Autonomous UAV Implementation for Facial Recognition and Tracking in GPS-Denied Environments","D. A. H. Ollachica; B. K. A. Asante; H. Imamura","Department of Information System Science, SOKA University of Japan, Hachioji, Tokyo, Japan; Department of Information System Science, SOKA University of Japan, Hachioji, Tokyo, Japan; Department of Information System Science, SOKA University of Japan, Hachioji, Tokyo, Japan",IEEE Access,"2 Sep 2024","2024","12","","119464","119487","Surveillance with facial recognition holds immense potential as a technological tool for combating crime in Latin American countries. However, the limitations of fixed cameras in covering wide areas and tracking suspects as the evaded recognitions systems pose significant challenges. To address these limitations, we propose a facial recognition system designed to recognize faces of suspected individuals with criminal backgrounds and missing persons. Our solution combines facial recognition technology with a custom-built unmanned aerial vehicle (UAV) for the identification and tracking of targeted persons listed in a database for crimes. We utilize the inception v2 model to deploy a Siamese network on the Jetson TX2 platform for facial recognition. Additionally, we introduce a novel tracking algorithm to track suspected individuals in the event of evasion. During field test experiments, our system demonstrated strong performance in facial recognition across three different environments: stationary, indoor flight, and outdoor flight. The accuracy of our system was 94.45% for recognizing along with our tracking algorithms. An improvement of 1.5% in recognition and better tracking approach for surveillance. This indicates the versatility and effectiveness of our solution in various operational scenarios, enhancing its potential for crime prevention and law enforcement efforts in Latin American countries.","2169-3536","","10.1109/ACCESS.2024.3447899","Science and Technology Research Partnership for Sustainable Development (SATREPS; Grant Number JPMJSA2005) funded by the Japan Science and Technology Agency (JST) and the Japan International Cooperation Agency (JICA). The project’s website is: https://www.soka.ac.jp/en/satreps-earth/project/. As a PhD student, I worked as a research assistant for this project, and the drones developed for this paper will be used for research purposes in the SATREPS-EARTh project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10643451","Unmanned autonomous vehicles (UAV);facial recognition;object tracking;deep learning;autonomous flight;embedded systems","Drones;Face recognition;Autonomous aerial vehicles;Cameras;Face detection;Object tracking;Embedded systems","","9","","73","CCBY","22 Aug 2024","2024","","IEEE","IEEE Journals"
"AprilTag-Guided Autonomous Precision Landing System for UAV-Quadcopter Using HuskyLens AI Camera","R. O. Wiyagi; B. S. Tryatmojo; S. A. Basith; H. T. G. Handoko; M. R. A. Hasani; M. Y. Mustar","Departement of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Departement of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Departement of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Departement of Mechanical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Departement of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia; Departement of Electrical Engineering, Universitas Muhammadiyah Yogyakarta, Yogyakarta, Indonesia",2025 5th International Conference on Electronic and Electrical Engineering and Intelligent System (ICE3IS),"16 Dec 2025","2025","","","155","160","The development of Unmanned Aerial Vehicle (UAV) technology has driven various innovations, especially in navigation systems and precision landings. The use of conventional GPS modules still has limitations, especially in accuracy and performance in GPS-denied areas. This study proposed an autonomous precision landing system on a UAVQuadcopter using the Huskylens AI Camera as a vision edge computing device to detect and track the AprilTag fiducial marker. The system was developed by integrating Huskylens with a Raspberry $\mathrm{Pi} 4 \mathrm{~B}+$ companion computer and implementing PID control based on visual data for landing maneuvers on the Quadcopter. The test results show that Huskylens can detect AprilTag stably with a maximum confidence rate of 1.0 at a distance of up to 250 cm in lighting conditions ranging from $\mathbf{1 5 - 3 1 5 5}$ LUX. At a detection distance below 50 cm, the camera can achieve the highest FPS above 25 FPS. With the implementation of the Huskylens AI camera on the Quadcopter, the tracking control system can keep the marker in the camera frame during the landing process. The fastest landing time was recorded at 19 seconds from an altitude of 180 cm, while in testing at an altitude of 200 cm, the smallest position error was obtained at 6 cm on the x-axis and 5 cm on the y -axis.","","979-8-3315-8523-5","10.1109/ICE3IS66769.2025.11281319","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11281319","AprilTag;UAV;Quadcopter;Huskylens AI Camera;Precision Landing","Performance evaluation;Visualization;Technological innovation;PI control;Process control;Cameras;Autonomous aerial vehicles;PD control;Quadrotors;Testing","","","","19","IEEE","16 Dec 2025","6-7 Aug. 2025","6-7 Aug. 2025","IEEE","IEEE Conferences"
"Tightly-coupled Line Feature-aided Visual Inertial Localization within Lightweight 3D Prior Map for Intelligent Vehicles","X. Zheng; W. Wen; L. -T. Hsu","Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong",2023 IEEE 26th International Conference on Intelligent Transportation Systems (ITSC),"13 Feb 2024","2023","","","6019","6026","Visual-inertial navigation system (VINS) is widely used for autonomous platforms but suffers from drifting over a long time. To remedy this situation, a lightweight 3D prior map-aided visual-inertial navigation system is presented in this paper, which tightly couples the visual-inertial data stream with a lightweight prior map involving 3D line information. To fill the gaps between 3D maps and 2D images, the mutual geometric feature of line segments is utilized to connect these two types of information in different dimensions. By detecting and matching line features in two data sources, the line pairs are utilized as constraints in the nonlinear optimization model and added to the existing factor graph framework in a tightly coupled form. Meanwhile, a fast line feature tracking strategy is employed to monitor and remove extreme outliers, which will further improve the reliability of this structural characteristic during the cross-modality localization. The effectiveness of the proposed method is evaluated by public indoor unmanned aerial vehicles (UAV) datasets, and outdoor unmanned ground vehicles (UGV) datasets generated by the CARLA simulator.","2153-0017","979-8-3503-9946-2","10.1109/ITSC57777.2023.10422196","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10422196","","Location awareness;Three-dimensional displays;Navigation;Optimization methods;Autonomous aerial vehicles;Reliability;State estimation","","2","","36","IEEE","13 Feb 2024","24-28 Sept. 2023","24-28 Sept. 2023","IEEE","IEEE Conferences"
"Online Dynamic Model Calibration for Reliable Control of Quadrotor Based on Factor Graph Optimization","P. Yang; W. Wen; S. Bai; J. Hu","Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong; Department of Aeronautical and Aviation Engineering, The Hong Kong Polytechnic University, Hong Kong",IEEE Transactions on Aerospace and Electronic Systems,"13 Oct 2025","2025","61","5","11254","11266","Precise dynamic model calibration is essential in achieving reliable control of unmanned aerial vehicles (UAVs). However, the existing methods tend to use simplified dynamic models and cannot adapt to variations of the dynamic model. To fill this gap, this article explores an online dynamic model calibration (ODMC) method for the quadrotor based on factor graph optimization. First, the dynamic model is derived with more error terms, such as the center of gravity, aerodynamic drag, HVT disturbance, and viscous effect. Moreover, the IMU–body extrinsic parameters and the gravity vector are also identified online. Second, the pose is estimated based on the visual–inertial odometry together with the dynamic model parameters. The proposed method is validated using open-source and self-collected datasets. The evaluation demonstrates that the ODMC performs even better than the state-of-the-art data-driven methods in force and torque prediction when the maximum velocity is less than 9 m/s. Furthermore, the effectiveness of the proposed method is validated by applying the estimated model in the differential-flatness-based controller.","1557-9603","","10.1109/TAES.2025.3566347","innovation and technology fund; “Safety-Certified Multi-Source Fusion Positioning for Autonomous Vehicle in Complex Scenarios (ZPE8)”; Germany/Hong Kong Joint Research Scheme; ”Maximum Consensus Integration of GNSS and LiDAR (RADM)“; Research Center of Deep Space Exploration; ”Multi-Robot Collaborative Operations (BBDW)“; PolyU Research Institute for Advanced Manufacturing; “Unmanned Aerial Vehicle Aided High Accuracy Addictive Manufacturing for Carbon Fiber Reinforced Thermoplastic Composites Material (CD8S).”; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10981983","","Aerodynamics;Quadrotors;Torque;Calibration;Vehicle dynamics;Gravity;Autonomous aerial vehicles;Drag;Adaptation models;Rotors","","","","52","IEEE","1 May 2025","Oct. 2025","","IEEE","IEEE Journals"
"An Acoustic-Aided RTK UAV Positioning Method for Occluded Environments","B. Zhou; Y. Li; W. Shi; C. Yuan","Taizhou Electric Power Company of State Grid, Taizhou, China; Taizhou Electric Power Company of State Grid, Taizhou, China; Taizhou Electric Power Company of State Grid, Taizhou, China; Taizhou Electric Power Company of State Grid, Taizhou, China",IEEE Access,"28 Jan 2026","2026","14","","13330","13347","In complex structural environments such as high-voltage substations, GNSS signals are susceptible to blockage and multipath interference, leading to significant degradation of RTK positioning accuracy. This paper proposes a UAV positioning method that fuses RTK with acoustic ranging based on graph optimization and an Extended Kalman Filter (EKF). The RTK subsystem uses a Qianxun XMini receiver operating in network RTK mode. The acoustic subsystem consists of four ground-deployed acoustic base stations and a single microphone mounted on the UAV to enable time-of-arrival (TOA)-based ranging, providing redundant positioning when RTK performance degrades or fails. Field flight tests and error assessments were conducted in a typical 10 m by 40 m test site featuring both open and GNSS-blocked areas. The experimental results show that in unobstructed areas, the proposed fused positioning system achieves a mean positioning error of approximately 0.11 m, with 90% of the errors remaining below 0.15 m. When entering GNSS-blocked regions, where the positioning error of the standalone RTK solution increases significantly and frequently exceeds 1.0 m, the fused system maintains a mean error of about 0.21 m, with 95% of the positioning errors confined within 0.25 m. Compared with the RTK-only solution, this corresponds to an average error reduction of approximately 38.6%. These results demonstrate that the proposed multisensor fusion strategy effectively enhances both positioning accuracy and robustness under challenging conditions, providing reliable localization support for UAV-based intelligent inspection tasks in GNSS-degraded environments.","2169-3536","","10.1109/ACCESS.2026.3656895","Science and Technology Project of State Grid Jiangsu Electric Power Company(grant numbers:J2024029); State Grid Jiangsu Electric Power; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11361024","Acoustic ranging;graph optimization;extended Kalman filter;UAV inspection","Acoustics;Location awareness;Autonomous aerial vehicles;Distance measurement;Inspection;Accuracy;Substations;Robustness;Global navigation satellite system;Optimization","","","","41","CCBY","22 Jan 2026","2026","","IEEE","IEEE Journals"
"Comparison of Visual-Inertial Sensor Fusion Techniques for GNSS-Resilient Navigation","L. Turci; F. Vitiello; F. Causa; R. Opromolla; G. Fasano","Università degli Studi di Napoli Federico II, Naples, Italy; Università degli Studi di Napoli Federico II, Naples, Italy; Università degli Studi di Napoli Federico II, Naples, Italy; Università degli Studi di Napoli Federico II, Naples, Italy; Università degli Studi di Napoli Federico II, Naples, Italy",2024 AIAA DATC/IEEE 43rd Digital Avionics Systems Conference (DASC),"15 Nov 2024","2024","","","01","10","This paper analyzes and compares different visual-inertial (V-INS) sensor fusion strategies, conceived to enable GNSS-resilient navigation of Unmanned Aerial Vehicles (UAV). The strategies share the same data fusion architecture, based on a loosely coupled Extended Kalman Filter (EKF), but have variable characteristics concerning the image processing and pose estimation pipelines. Specifically, four different geolocation strategies are investigated to retrieve range information about the detected visual features in the observed scene, exploiting a flat Earth assumption, a local flat Earth assumption, a Digital Elevation Model (DEM) intersection and a triangulation method, respectively. The latter approach, in particular, does not require any geometrical assumption or any a priori knowledge on the observed scene. Furthermore, an original approach to provide the EKF with a consistent estimate of the covariance associated to the visual-based pose solution is proposed. The navigation performance is evaluated by means of numerical simulations reproducing a straight trajectory with hovering and a curved trajectory, both over an almost flat and a mountain scenario. In the best case of the flat scenario, the percentage error on the position estimate, computed with respect to the UAV traveled distance, is less than 0.15%, and the error on the attitude angles estimate is less than 0.08°, while the Root Mean Square (RMS) values of the same quantities are about 0.09% and 0.04°, respectively. In the mountain scenario the performance is degraded but the maximum errors are still kept approximately within 1% and 1o, respectively.","2155-7209","979-8-3503-4961-0","10.1109/DASC62030.2024.10748659","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10748659","visual odometry;feature geolocation;visual-inertial navigation;sensor fusion;covariance","Earth;Visualization;Navigation;Geology;Pipelines;Data integration;Sensor fusion;Filtering algorithms;Autonomous aerial vehicles;Trajectory","","2","","23","IEEE","15 Nov 2024","29 Sept.-3 Oct. 2024","29 Sept.-3 Oct. 2024","IEEE","IEEE Conferences"
"A Review of Small UAV Navigation System Based on Multisource Sensor Fusion","X. Ye; F. Song; Z. Zhang; Q. Zeng","School of Aeronautics and Astronautics, Sun Yat-sen University, Shenzhen, China; School of Aeronautics and Astronautics, Sun Yat-sen University, Shenzhen, China; School of Aeronautics and Astronautics, Sun Yat-sen University, Shenzhen, China; School of Aeronautics and Astronautics, Sun Yat-sen University, Shenzhen, China",IEEE Sensors Journal,"30 Aug 2023","2023","23","17","18926","18948","In recent years, unmanned aircraft systems (UASs) have played an increasingly significant role in the military and civil fields. The flight control system, as the “hub” of an unmanned aerial vehicle (UAV), is responsible for the key function of autonomous flight, while a reliable and stable navigation system provides important information such as position status for flight control and represents the “sensory” function of the UAV. A highly autonomous and credible UAV requires a navigation system that meets specific requirements for accuracy, integrity, and continuity, resulting in a multitude of sensors on-board the UAV that are heterogeneous, redundant, and multisource, creating a highly complex navigation system. In this article, we review multisensor fusion (MSF) technology for small UAVs over the last 20 years and provide an overview of three typical multisource fusion architectures based on filtering, factor graph optimization, and data-driven, focusing on inductive identification of key technologies for multisource information fusion state estimation systems, including calibration techniques to improve data quality, observability analysis to provide theoretical support, additional model constraint correction using aircraft, and resilient fusion management techniques across all sources. Finally, we propose future directions for UAS navigation systems to address the limitations of the existing systems.","1558-1748","","10.1109/JSEN.2023.3292427","National Natural Science Foundation of China(grant numbers:61174120); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10179240","Factor graph optimization (FGO);Kalman filter (KF);multisensor fusion (MSF);resilient;unmanned aircraft systems (UASs)","Sensors;Intelligent sensors;Navigation;Sensor systems;Autonomous aerial vehicles;Aerospace control;Sensor phenomena and characterization","","79","","170","IEEE","11 Jul 2023","1 Sept.1, 2023","","IEEE","IEEE Journals"
"Long-Range UAV Thermal Geo-Localization with Satellite Imagery","J. Xiao; D. Tortei; E. Roura; G. Loianno","New York University, Tandon School of Engineering, Brooklyn, NY, USA; Autonomous Robotics Research Center-Technology Innovation Institute, Abu Dhabi, UAE; Autonomous Robotics Research Center-Technology Innovation Institute, Abu Dhabi, UAE; New York University, Tandon School of Engineering, Brooklyn, NY, USA",2023 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),"13 Dec 2023","2023","","","5820","5827","Onboard sensors, such as cameras and thermal sensors, have emerged as effective alternatives to Global Positioning System (GPS) for geo-Iocalization in Unmanned Aerial Vehicle (UAV) navigation. Since GPS can suffer from signal loss and spoofing problems, researchers have explored camera-based techniques such as Visual Geo-Iocalization (VG) using satellite RGB imagery. Additionally, thermal geo-Iocalization (TG) has become crucial for long-range UAV flights in low-illumination environments. This paper proposes a novel thermal geo-Iocalization framework using satellite RGB imagery, which includes multiple domain adaptation methods to address the limited availability of paired thermal and satellite images. The experimental results demonstrate the effectiveness of the proposed approach in achieving reliable thermal geo-Iocalization performance, even in thermal images with indistinct self-similar features. We evaluate our approach on real data collected onboard a UAV. We also release the code and Boson-nighttime, a dataset of paired satellite-thermal and unpaired satellite images for thermal geo-Iocalization with satellite imagery. To the best of our knowledge, this work is the first to propose a thermal geo-Iocalization method using satellite RGB imagery in long-range flights.","2153-0866","978-1-6654-9190-7","10.1109/IROS55552.2023.10342068","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10342068","","Training;Adaptation models;Visualization;Satellites;Thermal sensors;Autonomous aerial vehicles;Sensor systems","","12","","42","IEEE","13 Dec 2023","1-5 Oct. 2023","1-5 Oct. 2023","IEEE","IEEE Conferences"
"Cooperative Visual–Range–Inertial Navigation for Multiple Unmanned Aerial Vehicles","C. Li; J. Wang; J. Liu; J. Shan","Tsinghua University, Beijing, China; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China; Beijing Institute of Technology, Beijing, China",IEEE Transactions on Aerospace and Electronic Systems,"11 Dec 2023","2023","59","6","7851","7865","In this article, the cooperative navigation issue is investigated for a group of unmanned aerial vehicles (UAVs). A distributed estimation architecture fusing range, visual, and intermittent position measurements is proposed. Relative range and co-observed features are utilized to construct direct and indirect geometric constraints between UAVs, respectively. Compared with its independent counterpart, the proposed collaborative estimation scheme is more accurate and robust, while maintaining scalability and efficiency in practical deployment. To solve the intractable problem of evaluating the cross covariance between local estimators during estimation, the covariance intersection (CI) algorithm is introduced into the distributed fusion scheme, where each UAV only estimates its own pose and covariance. Observability analysis is provided to gain insights about the system's identification properties. Finally, the algorithm is applied to a practical patrolling scenario of multiple UAVs, and both numerical and software-in-the-loop (SITL) simulations are performed to illustrate the feasibility and effectiveness of the proposed scheme.","1557-9603","","10.1109/TAES.2023.3297555","National Natural Science Foundation of China(grant numbers:62273043); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10190134","Aerial systems;cooperative localization;multi unmanned aerial vehicle (UAV) systems;ultra-wideband (UWB);visual–inertial navigation","Autonomous aerial vehicles;Estimation;Cameras;Navigation;Visualization;Global navigation satellite system;Time measurement","","20","","54","IEEE","21 Jul 2023","Dec. 2023","","IEEE","IEEE Journals"
"A Moving Target Tracking System of Quadrotors with Visual-Inertial Localization","Z. Lin; W. Xu; W. Wang","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China; School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China",2023 IEEE International Conference on Robotics and Automation (ICRA),"4 Jul 2023","2023","","","3296","3302","This paper implements a vision-based moving target tracking system of quadrotors with visual-inertial localization in GNSS-denied indoor environments. We use the visual-inertial odometry to estimate the states of the UAV by minimizing visual and inertial residuals, and estimate the states of the target with extended Kalman Filter from visual detection. This research formulates the target tracking problem as optimization-based trajectory generation where a weighted sum cost function jointly penalizes the tracking error, the control cost of the trajectory and the trajectory length, while enforcing the safety and feasibility constraints. We present a strategy that represents the trajectory as piecewise Bézier curves using Bernstein polynomial basis. Due to the special properties of Bézier curves, the position of the entire trajectory and its derivatives can be directly bounded within the safe spaces, thus this facilitating the dynamics of the quadrotor. The proposed strategy can generate smooth and collision-free tracking trajectories and is time and space efficient. We conduct simulations and real-world experiments to validate the effectiveness of our system.","","979-8-3503-2365-8","10.1109/ICRA48891.2023.10161323","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10161323","","Location awareness;Visualization;Target tracking;Robot sensing systems;Trajectory;Sensors;Safety","","6","","31","IEEE","4 Jul 2023","29 May-2 June 2023","29 May-2 June 2023","IEEE","IEEE Conferences"
"Cluster-ALIV: Aerial LiDAR-Inertia-Visual Dense Reconstruction for Cluster UAV","X. Li; J. Zhang; S. Bu; L. Chen; K. Li; Z. Xia; Y. Zhang; X. Jia","National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; Chengdu Aircraft Design & Research Institute, Chengdu, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China; National Key Laboratory of Aircraft Configuration Design, School of Aeronautics, Northwestern Polytechnical University, Xi'an, China",IEEE Robotics and Automation Letters,"21 Apr 2025","2025","10","6","5329","5336","Uncrewed Aerial Vehicles (UAVs) equipped with LiDAR, camera, and Inertial Measurement Unit sensors are increasingly utilized for real-time dense reconstruction in large-scale rescue operations and environmental monitoring, among others. However, achieving algorithmic robustness remains challenging due to the UAVs' high-speed flight and rapid pose changes. Additionally, energy constraints on individual UAVs can be mitigated through multi-UAV collaboration, improving operational efficiency. Nevertheless, when faced with unknown environments or the loss of Global Navigation Satellite System signal, most multi-UAV dense reconstruction systems can't work, making it hard to construct a global consistent map. In this letter, we propose Cluster-ALIV, a real-time dense reconstruction system for multiple UAVs that effectively supports aerial, large-scale scenarios with lost global positioning and weak co-visibility of LiDAR or vision. The system integrates LiDAR-Inertial-Visual odometry through multi-sensor fusion to generate accurate, gravity-aligned, colorized LiDAR point clouds and visual information with scale. Overall, in the Cluster-ALIV, each UAV executes a LiDAR-Inertial-Visual odometry, transmitting point cloud and visual data to a ground server, where multi-UAV joint optimization is performed through LiDAR post-processing, visual post-processing, and normal distributions transform refinement. Extensive experiments demonstrate that our system can efficiently construct large-scale dense map in real time with high accuracy and robustness.","2377-3766","","10.1109/LRA.2025.3559839","National Natural Science Foundation of China(grant numbers:SN:SXKLIIN202402002); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10960656","Mapping;multi-robot;aerial systems","Laser radar;Point cloud compression;Autonomous aerial vehicles;Visualization;Odometry;Image reconstruction;Servers;Accuracy;Three-dimensional displays;Rendering (computer graphics)","","1","","23","IEEE","10 Apr 2025","June 2025","","IEEE","IEEE Journals"
